x,y,z
1380.649964805751,2358.97232126072,1.5
718.1668616727693,1165.80961365439,1.5
730.046698116872,1146.037408318371,1.5
741.4460855494835,1131.243105551228,1.5
781.9398480138043,1069.889757832512,1.5
797.6873853442958,1037.876221679151,1.5
816.6350821922533,1019.310595043004,1.5
746.1219750110758,1134.631662484258,1.5
904.6513224978116,1061.970104210079,1.5
461.261934267648,1517.116796448827,1.5
461.261934267648,1517.116796448827,1.5
461.261934267648,1517.116796448827,1.5
461.261934267648,1517.116796448827,1.5
1056.111933182809,855.8417121684179,1.5
1056.111933182809,855.8417121684179,1.5
1041.352537364699,883.3277215156704,1.5
1041.352537364699,883.3277215156704,1.5
822.9650383817498,809.1583642903715,1.5
961.5034248580923,873.4602069621906,1.5
766.0524999735644,899.1927851587534,1.5
734.584868485108,763.2807911876589,1.5
818.3907762203598,681.1553397160023,1.5
913.2795843260828,687.4679928012192,1.5
914.802023815806,681.3969653099775,1.5
898.7273341040127,692.8028476387262,1.5
920.8778257520171,658.1095859436318,1.5
869.3878890124615,639.5551316328347,1.5
952.1688607800752,755.3600157964975,1.5
943.9202140226262,779.8354722447693,1.5
970.7122272361303,692.2592080822214,1.5
738.6101797057199,908.4455127045512,1.5
795.1864566482836,1238.555829978548,1.5
903.181282778387,1145.026727480814,1.5
870.2185728700133,1159.851741373539,1.5
928.8465319056995,1145.385768098757,1.5
955.1004071586067,1103.660569749773,1.5
874.8739636944374,1157.369179503992,1.5
874.8739636944374,1157.369179503992,1.5
874.8739636944374,1157.369179503992,1.5
874.8739636944374,1157.369179503992,1.5
874.8739636944374,1157.369179503992,1.5
874.8739636944374,1157.369179503992,1.5
983.6989337885752,1099.85130944103,1.5
929.6227049543522,1200.006018425338,1.5
979.5716653990094,1167.363002041355,1.5
994.6761321968515,1181.309650945477,1.5
994.6316389092244,1140.435077030212,1.5
1134.354651491158,1164.320694554597,1.5
954.0819216198288,1242.551330774091,1.5
964.894994279719,1284.351902078837,1.5
1003.494606649387,1189.519139615819,1.5
1035.030372344423,1240.027887578122,1.5
1035.030372344423,1240.027887578122,1.5
1035.030372344423,1240.027887578122,1.5
1035.030372344423,1240.027887578122,1.5
1035.030372344423,1240.027887578122,1.5
1371.911431837827,1123.552485599183,1.5
1371.911431837827,1123.552485599183,1.5
1483.91785654478,1198.444817899726,1.5
1477.620059203473,1134.664669262245,1.5
1453.691061270423,1068.755409467034,1.5
1514.7384927643,1057.42255602777,1.5
1535.566592690651,1066.6632508412,1.5
920.7537140498753,1422.971822516061,1.5
856.2457792165224,1424.617090685293,1.5
856.2457792165224,1424.617090685293,1.5
822.3185524331639,1449.619364192709,1.5
862.0471076284302,1296.205546366051,1.5
632.6538360912818,1545.549120163545,1.5
814.8645561498706,1387.927153525874,1.5
831.4578849292593,1464.258070279844,1.5
744.5384756576968,1475.115450862795,1.5
768.8557141075144,1571.825410449877,1.5
807.4148087917129,1531.380302665755,1.5
729.4558147835778,1598.966310813092,1.5
729.4558147835778,1598.966310813092,1.5
729.4558147835778,1598.966310813092,1.5
717.1361138038337,1598.793843872845,1.5
704.9022867530584,1775.853998156264,1.5
729.9348511800636,1696.782601272687,1.5
729.9348511800636,1696.782601272687,1.5
700.6337528251461,1772.692690865137,1.5
643.2807571246522,1688.590858632699,1.5
643.2807571246522,1688.590858632699,1.5
648.6159193961648,1681.576311675832,1.5
648.6159193961648,1681.576311675832,1.5
648.6159193961648,1681.576311675832,1.5
648.6159193961648,1681.576311675832,1.5
624.2634165058844,1778.047978209332,1.5
726.1869245226262,1781.136588117108,1.5
729.83792289556,1784.400013009086,1.5
732.2832907871343,1785.763477671891,1.5
707.6950877654017,1789.074681213126,1.5
657.4741034376202,1884.962686980143,1.5
687.5937088237843,1875.30435115099,1.5
783.6357003223384,1836.4392750673,1.5
783.6357003223384,1836.4392750673,1.5
764.5386273025651,1872.947522236034,1.5
791.1604974602233,1907.769400681369,1.5
783.6357003223384,1836.4392750673,1.5
783.6357003223384,1836.4392750673,1.5
823.938002967916,1832.904732258059,1.5
716.669056957704,1888.892959509976,1.5
722.3079140897607,1984.898362254724,1.5
722.3079140897607,1984.898362254724,1.5
722.3079140897607,1984.898362254724,1.5
722.3079140897607,1984.898362254724,1.5
722.3079140897607,1984.898362254724,1.5
722.3079140897607,1984.898362254724,1.5
697.6272287794272,1980.122103141621,1.5
658.2893668476027,1958.746684521437,1.5
659.98892741499,2013.379909820855,1.5
684.1053301904467,2124.487147657201,1.5
583.1747879338218,1999.011886255816,1.5
646.0529655988212,2055.277249280363,1.5
570.8307915157056,2022.543704425916,1.5
569.6419343205635,2012.114701461978,1.5
684.6789522471372,2083.510425321758,1.5
670.9445716817863,2111.010556475259,1.5
586.611520320992,2164.217599621043,1.5
543.199466992286,2067.129155317321,1.5
542.9977872476447,2081.526391289197,1.5
580.0726341864211,2220.507779346779,1.5
481.8893036416848,2140.818216580898,1.5
481.8893036416848,2140.818216580898,1.5
465.9971176923718,2080.447555687279,1.5
466.1988706785487,2066.050314922817,1.5
466.1988706785487,2066.050314922817,1.5
466.1988706785487,2066.050314922817,1.5
439.9421917522559,2107.774860744365,1.5
439.9421917522559,2107.774860744365,1.5
161.3047660027514,1840.234703479335,1.5
238.2419489118038,1926.274849285372,1.5
171.5430186572485,2061.918334813789,1.5
279.6747952228761,1959.311644146219,1.5
279.6747952228761,1959.311644146219,1.5
363.1431957184104,2092.298265309073,1.5
315.3350906105479,2059.836972534657,1.5
474.7355734339799,1456.936095585115,1.5
377.2099423327018,1587.05266735889,1.5
374.5349701753585,1675.298749275506,1.5
371.3464934917865,1690.318743217736,1.5
268.6753626143327,1784.473201795481,1.5
265.517584361718,1782.656584948301,1.5
299.7508741777856,1809.167709637433,1.5
356.3610058039194,1572.692528941669,1.5
474.7355734339799,1456.936095585115,1.5
458.238113664207,1520.397506087087,1.5
458.238113664207,1520.397506087087,1.5
449.2249895281857,1613.982443481684,1.5
449.2249895281857,1613.982443481684,1.5
479.2354016691679,1707.338939998299,1.5
479.2354016691679,1707.338939998299,1.5
479.2354016691679,1707.338939998299,1.5
412.773848389741,1709.065831478685,1.5
509.1259648243431,1692.028509818017,1.5
461.261934267648,1517.116796448827,1.5
640.4425906518591,1436.660806175321,1.5
484.5420160833746,1475.239795841277,1.5
517.0624343188247,1506.711103443988,1.5
522.5275736842887,1380.510115601122,1.5
575.0151202183333,1899.75872119423,1.5
575.0151202183333,1899.75872119423,1.5
606.436020379886,1870.512532269582,1.5
419.5240193662466,2011.340514501557,1.5
336.1939714722103,1802.589541049674,1.5
137.6560909330146,2025.33175445348,1.5
129.6645004276652,2111.841715828516,1.5
198.6564932296751,2156.785539885983,1.5
240.6807933592936,2257.511080385186,1.5
106.9208961109398,2312.90231059771,1.5
915.8275905585615,1922.030291976407,1.5
915.8275905585615,1922.030291976407,1.5
931.5002687958768,2078.988226807676,1.5
992.589039905346,1896.075837433338,1.5
958.6565950885415,1899.367595275864,1.5
1023.597279061214,1896.287752596661,1.5
1049.394311317941,1894.654463629238,1.5
931.8858989721048,1977.971887310967,1.5
896.2298177449848,2009.04255893454,1.5
896.2298177449848,2009.04255893454,1.5
896.2298177449848,2009.04255893454,1.5
1037.233132582391,2096.195527120493,1.5
1037.233132582391,2096.195527120493,1.5
1052.051250078541,2049.879481747746,1.5
1044.505994881853,2038.697099851444,1.5
1066.867246320413,2018.406491415575,1.5
885.2019512838451,2078.008477061056,1.5
885.2019512838451,2078.008477061056,1.5
962.0201043747365,2239.033654294908,1.5
917.695245528419,2162.979964669794,1.5
970.8420024053194,2195.624607805163,1.5
1008.75649949885,2157.274528895505,1.5
844.5692072795937,2053.735474772751,1.5
1338.491600340349,1281.485993602313,1.5
1486.134595625103,1576.863168977201,1.5
1508.843334252713,1575.739920391701,1.5
1547.041286511347,1708.309382377192,1.5
1524.94705940038,1665.355179881677,1.5
1617.06308487663,1723.685597602278,1.5
938.2974622094771,1695.71017630212,1.5
871.7987163852667,1722.140151200816,1.5
834.8323888449813,1736.798422370106,1.5
841.2605406926014,1805.787010968663,1.5
949.5473487087293,1875.20325729996,1.5
949.5473487087293,1875.20325729996,1.5
1000.062561194063,1882.998752770945,1.5
1000.062561194063,1882.998752770945,1.5
1061.646646523848,1884.967222601175,1.5
1184.016670412035,1887.230721551925,1.5
1184.016670412035,1887.230721551925,1.5
1193.937979983923,1985.621638985351,1.5
1174.588119915919,2099.111435077153,1.5
1161.156080061512,2141.791540395468,1.5
1125.953460797435,2221.275249417871,1.5
1088.425162612461,2283.446401019581,1.5
1412.147655316803,1551.350947216153,1.5
1383.601929243712,1404.183385932818,1.5
1465.737620106083,1662.535484094173,1.5
1440.124449298019,1695.18736531958,1.5
1437.947555209394,1637.77857603319,1.5
1182.124069049896,1713.961097192019,1.5
1387.150517165952,1790.042006032541,1.5
1120.239500177791,1197.132720594294,1.5
1096.584517004259,1229.257556062192,1.5
1038.197366496315,1336.663142653182,1.5
982.5095807599137,1390.493880113587,1.5
920.8049840918975,1448.671070598066,1.5
924.272626389924,1509.088962148875,1.5
1098.733082610357,1281.238450517878,1.5
982.5327326192637,1080.450331285596,1.5
980.3673790293979,1051.730737155303,1.5
1153.281735132274,699.0212301388383,1.5
1093.537629792234,668.610640514642,1.5
1210.822153318499,644.6621535476297,1.5
1210.822153318499,644.6621535476297,1.5
1210.822153318499,644.6621535476297,1.5
1138.64077047247,585.831715464592,1.5
1077.104898362304,573.451401937753,1.5
1111.009585877648,571.9315769849345,1.5
1065.239650793723,614.2702260389924,1.5
1059.956570692244,624.9409987833351,1.5
1064.68545743695,631.8748339954764,1.5
1023.6241050674,579.7927777320147,1.5
1019.617808485345,587.2690774137154,1.5
1206.480060390197,543.9120514895767,1.5
1206.480060390197,543.9120514895767,1.5
853.8622054501902,2292.352148970589,1.5
846.5886443498894,2298.453506313264,1.5
693.3551571208518,2292.654083501548,1.5
642.6985064957989,2214.184693301097,1.5
631.1675916357199,2296.9896897953,1.5
663.2134306136286,2377.192431570962,1.5
729.56656652526,2390.748853396624,1.5
734.772942282143,2297.553762700409,1.5
734.772942282143,2297.553762700409,1.5
626.9292701801751,2276.991817502305,1.5
611.0002785134129,2387.870709056035,1.5
627.7437247799244,2365.508139522746,1.5
627.7437247799244,2365.508139522746,1.5
401.0670665425714,2273.163116972893,1.5
437.6420304342173,2271.903404791839,1.5
905.2263434312772,1710.866157040931,1.5
816.1125354657415,1548.228225130588,1.5
860.3780667186365,1554.939914467745,1.5
885.4540085838526,1656.201761867851,1.5
871.0301684886217,1637.612248045392,1.5
871.0301684886217,1637.612248045392,1.5
887.2669210749445,1614.688548989594,1.5
885.4540085838526,1656.201761867851,1.5
833.4585318000172,1673.529785741121,1.5
871.0301684886217,1637.612248045392,1.5
833.4585318000172,1673.529785741121,1.5
702.8487145063118,1423.799281537533,1.5
871.9319477276877,2344.00189091824,1.5
872.6475341408513,2344.233437177725,1.5
939.2346356407506,2296.979812646285,1.5
1185.839749129547,764.4979051733389,1.5
1248.596453874954,638.100684447214,1.5
1226.226219820033,504.8648166488856,1.5
1196.749876405112,505.4498446378857,1.5
1086.774851362396,498.706398691982,1.5
1121.22731667757,480.0249496847391,1.5
1081.931412497303,499.9679111046717,1.5
1250.447766072815,410.0522942636162,1.5
1192.697496548994,361.9467359976843,1.5
1431.716893455945,494.9962419699878,1.5
1432.839703595382,583.738127220422,1.5
1311.227677803196,307.4427504520863,1.5
1209.164917864313,1807.052684074268,1.5
1203.548874647007,1819.491178988479,1.5
1203.385305615724,1816.498123810627,1.5
1203.232563873869,1812.729834821075,1.5
1362.195139485179,1996.278248675168,1.5
1274.863972043269,2021.75469581876,1.5
1267.309290255129,1974.461541105062,1.5
1249.746858909377,1952.616339189932,1.5
1202.991637707222,2124.098877480254,1.5
1223.308792264666,2309.034869208932,1.5
1119.418142014591,2277.454753665254,1.5
1554.375848074502,2102.860193610191,1.5
1532.949925634312,2166.585964823142,1.5
1543.488337849616,2235.631212295033,1.5
1405.041774763027,2215.202017290518,1.5
1431.272023523401,585.7100916672498,1.5
1189.777981416206,1548.279565205798,1.5
1065.492397265392,1624.491365393624,1.5
1064.024141305475,1626.686232294887,1.5
1132.333256229409,1544.120708488859,1.5
1135.695861738757,1538.629224136472,1.5
1228.760839023453,1506.809261528775,1.5
1170.759173404309,1505.777530414984,1.5
1149.951555131411,1510.471447819844,1.5
1279.232597606373,1282.320121943951,1.5
1213.643260053534,1309.982545165345,1.5
1525.675250234897,1915.038821669295,1.5
1532.516595661815,1976.721808124334,1.5
1626.840257207572,1803.13249256555,1.5
1653.456907174434,1845.817214364186,1.5
1715.960690526583,2098.687452659011,1.5
1824.260611051985,2241.315239379182,1.5
