id,name,x,y,z,elevation,latitude,longitude,elevation_norm
1321.0,INOVA,1527.405074562005,2180.21223290045,1.5,638.0,-22.81454328691809,-47.05934014724517,7.411764705882362
535.0,BC,297.3117341705384,1965.812272692516,1.5,604.0,-22.81632354744989,-47.07134835810497,3.411764705882362
802.0,CBMEG,1535.553550458122,1646.180816012451,1.5,641.0,-22.81936543754744,-47.05933331168868,7.764705882352942
845.0,CCUEC,1149.489906425988,1831.086023318527,1.5,609.0,-22.81764750753982,-47.06306787459784,4.0
1037.0,GASTROCENTRO,1186.795532965459,667.8664790652365,1.5,632.0,-22.82815348592649,-47.06286284264447,6.705882352941188
1115.0,CEPETRO,680.8411826086862,2348.688590041222,1.5,585.0,-22.81291555313213,-47.06756122474079,1.1764705882353041
1038.0,HEMOCENTRO,1204.946460215959,597.7686246418147,1.5,635.0,-22.82878860225261,-47.06269560670362,7.058823529411768
960.0,CEMEQ,1143.061599502089,1202.745387873816,1.5,600.0,-22.82331920947462,-47.06321597438829,2.941176470588246
671.0,CBI,352.0531076132614,1826.281228442965,1.5,596.0,-22.8175901258988,-47.07083432138436,2.470588235294116
663.0,CBII,556.2562076592629,1822.992830223083,1.5,599.0,-22.8176456501308,-47.06884615405668,2.82352941176471
533.0,CDC,308.2522225770277,2105.023333638768,1.5,601.0,-22.81506817323086,-47.07122280371313,3.058823529411768
29.0,DGA,840.657019891126,1130.313255916596,1.5,607.0,-22.82393493173468,-47.06617092032558,3.764705882352942
9.0,DGRH,700.2246489972563,1136.527546024955,1.5,606.0,-22.82386108264907,-47.06753773030155,3.64705882352942
1211.0,DEdIC,1289.370763300412,641.1523155369861,1.5,632.0,-22.82840759241185,-47.06186747418447,6.705882352941188
1220.0,Sergio porto,1330.706328477058,760.0219809328617,1.5,612.0,-22.8273396767669,-47.06144872987941,4.352941176470594
1238.0,FCM,1067.961030188648,465.7315116408806,1.5,630.0,-22.82996331426923,-47.06404772458724,6.470588235294116
727.0,FEF,138.6149555530446,2070.031749445022,1.5,579.0,-22.81536258272692,-47.0728795528978,0.470588235294116
1240.0,FEnf,1141.112537866297,356.2711033260032,1.5,637.0,-22.83096072883751,-47.06335017986552,7.294117647058826
881.0,FEAGRI,1403.095355355153,1702.947609790683,1.5,633.0,-22.81883627792137,-47.06061555601061,6.82352941176471
1282.0,FEC,1256.482381348102,1967.590271187536,1.5,626.0,-22.81642866763006,-47.06200737084524,6.0
300.0,FEA,700.8484901932751,1518.068690432123,1.5,604.0,-22.82041670721943,-47.06747962546312,3.411764705882362
278.0,FEEC,829.9645467667509,1433.338795907379,1.5,599.0,-22.82119794279166,-47.06623375692565,2.82352941176471
1151.0,FEM,857.0543528423469,1625.833289674726,1.5,594.0,-22.81946357242083,-47.06594370942929,2.235294117647058
971.0,FEQ,965.1695994400972,1502.78983898633,1.5,593.0,-22.82058803039477,-47.06490757596987,2.117647058823536
-1000.0,FUNCAMP,770.3276000004262,2465.279699999839,1.5,595.0,-22.81187430269656,-47.06667391119723,2.352941176470594
1.0,GR,750.7658509575433,1090.142406541193,1.5,607.0,-22.82428622451636,-47.06705183968418,3.764705882352942
195.0,GGO,1062.636457249238,1143.528451488874,1.5,603.0,-22.82384365773027,-47.06400728650969,3.294117647058826
59.0,HC,1035.705230675424,859.3963133134652,1.5,620.0,-22.82640533371841,-47.06430825896828,5.294117647058826
513.0,IA,423.0244711342319,2082.368167460645,1.5,590.0,-22.81528722423836,-47.07010821668231,1.764705882352942
604.0,IB,428.7053253054042,1666.80238937718,1.5,598.0,-22.81903955890325,-47.07010962092847,2.705882352941188
776.0,IC,965.0456324545066,2149.359108020025,1.5,600.0,-22.81475094222973,-47.06482074503554,2.941176470588246
488.0,IEL,519.3684361031133,2150.88873352755,1.5,585.0,-22.814680826242,-47.0691606458217,1.1764705882353041
1112.0,IFCH,811.6609538126386,2345.527821597184,1.5,590.0,-22.81296061384064,-47.06628771818721,1.764705882352942
441.0,IFGW,724.4970485314318,1976.394427369493,1.5,583.0,-22.81628204801213,-47.06718684060307,0.9411764705882462
182.0,IG-BAIXO,968.080931801402,1123.219445058076,1.5,610.0,-22.82401506632456,-47.06493091959375,4.117647058823536
1134.0,IG-CIMA,546.8123170611772,2311.007481121721,1.5,583.0,-22.81323878624107,-47.06887155087497,0.9411764705882462
459.0,IMECC,666.7154479817508,2029.884260366945,1.5,586.0,-22.81579185317482,-47.06774224481084,1.294117647058826
376.0,IQ,670.1986968349462,1698.56702891677,1.5,601.0,-22.81878334059293,-47.06775349849438,3.058823529411768
4.0,PREFEITURA,777.6793602192681,1004.918244534925,1.5,611.0,-22.82505900758947,-47.06680135052657,4.235294117647058
198.0,RA,956.600038173243,1298.185503307433,1.5,594.0,-22.8224340663403,-47.06501889875863,2.235294117647058
1309.0,RS,1218.197468924446,2096.661065822492,1.5,612.0,-22.81525861935553,-47.06236265226889,4.352941176470594
531.0,RU,213.9811267468425,1827.408355753984,1.5,598.0,-22.81756246607184,-47.07217876933861,2.705882352941188
-10001.0,CCS,955.805,1150.583,1.5,605.0,-22.82337627543984,-47.06519670796302,3.529411764705884
-10002.0,EB,905.0,1250.583,1.5,605.0,-22.82337627543984,-47.06519670796302,3.529411764705884
-10003.0,PO-RM,684.0915268592071,1098.7598336022347,1.5,604.0,-22.8242,-47.0677,3.411764705882362
-10004.0,PO-AL,1188.7798639746616,252.89479490928352,1.5,638.0,-22.8319,-47.0629,7.411764705882362
-10005.0,PO-VB,1192.2354990409222,740.3287706691772,1.5,624.0,-22.8275,-47.0628,5.764705882352942
