ed_id,ed_x,ed_y,ed_z,sf,gw_id,gw_x,gw_y,gw_z,distance
0.0,2129.96,-3726.53,1.0,12.0,50.0,2500.0,2500.0,10.0,6237.52
1.0,2401.37,-1759.55,1.0,12.0,50.0,2500.0,2500.0,10.0,4260.7
2.0,-378.473,-2576.66,1.0,12.0,50.0,2500.0,2500.0,10.0,5835.93
3.0,-4287.58,-1788.29,1.0,12.0,50.0,2500.0,2500.0,10.0,8028.75
4.0,-143.42,39.2569,1.0,12.0,50.0,2500.0,2500.0,10.0,3611.51
5.0,-435.221,-2637.6,1.0,12.0,50.0,2500.0,2500.0,10.0,5916.97
6.0,-2576.52,752.845,1.0,12.0,50.0,2500.0,2500.0,10.0,5368.77
7.0,2914.96,-785.168,1.0,12.0,50.0,2500.0,2500.0,10.0,3311.28
8.0,2990.4,-2180.87,1.0,12.0,50.0,2500.0,2500.0,10.0,4706.49
9.0,-1701.27,-2618.46,1.0,12.0,50.0,2500.0,2500.0,10.0,6621.89
10.0,-4011.91,-627.186,1.0,12.0,50.0,2500.0,2500.0,10.0,7223.87
11.0,3848.5,663.143,1.0,9.0,50.0,2500.0,2500.0,10.0,2278.72
12.0,-45.2444,-3449.47,1.0,12.0,50.0,2500.0,2500.0,10.0,6471.05
13.0,2742.99,-708.648,1.0,12.0,50.0,2500.0,2500.0,10.0,3217.85
14.0,-1305.87,85.1235,1.0,12.0,50.0,2500.0,2500.0,10.0,4507.37
15.0,-2258.85,-4062.33,1.0,12.0,50.0,2500.0,2500.0,10.0,8106.23
16.0,4765.13,423.532,1.0,10.0,50.0,2500.0,2500.0,10.0,3072.88
17.0,-2626.96,-2282.74,1.0,12.0,50.0,2500.0,2500.0,10.0,7011.45
18.0,378.867,-1155.42,1.0,12.0,50.0,2500.0,2500.0,10.0,4226.27
19.0,-1869.33,-3618.78,1.0,12.0,50.0,2500.0,2500.0,10.0,7518.68
20.0,-1758.86,-1609.75,1.0,12.0,50.0,2500.0,2500.0,10.0,5918.45
21.0,2770.28,956.727,1.0,9.0,50.0,2500.0,2500.0,10.0,1566.79
22.0,-2200.12,-2569.19,1.0,12.0,50.0,2500.0,2500.0,10.0,6912.88
23.0,3500.93,-1946.23,1.0,12.0,50.0,2500.0,2500.0,10.0,4557.51
24.0,-1240.68,-455.426,1.0,12.0,50.0,2500.0,2500.0,10.0,4767.32
25.0,-976.144,-726.991,1.0,12.0,50.0,2500.0,2500.0,10.0,4743.11
26.0,-327.421,-2022.33,1.0,12.0,50.0,2500.0,2500.0,10.0,5333.46
27.0,-2679.69,2518.03,1.0,12.0,50.0,2500.0,2500.0,10.0,5179.73
28.0,1865.22,1724.39,1.0,12.0,50.0,2500.0,2500.0,10.0,1002.3
29.0,-2615.58,551.285,1.0,12.0,50.0,2500.0,2500.0,10.0,5474.19
30.0,-3294.21,-784.478,1.0,12.0,50.0,2500.0,2500.0,10.0,6660.39
31.0,-4620.75,-1892.16,1.0,12.0,50.0,2500.0,2500.0,10.0,8366.37
32.0,-2605.35,-1680.45,1.0,12.0,50.0,2500.0,2500.0,10.0,6598.55
33.0,-1106.76,4025.62,1.0,12.0,50.0,2500.0,2500.0,10.0,3916.16
34.0,-41.1382,-799.821,1.0,12.0,50.0,2500.0,2500.0,10.0,4164.89
35.0,-4263.52,-1445.13,1.0,12.0,50.0,2500.0,2500.0,10.0,7830.03
36.0,471.211,-1771.37,1.0,12.0,50.0,2500.0,2500.0,10.0,4728.71
37.0,-2371.49,-559.115,1.0,12.0,50.0,2500.0,2500.0,10.0,5752.36
38.0,2203.31,-2997.16,1.0,12.0,50.0,2500.0,2500.0,10.0,5505.17
39.0,-2035.07,1367.86,1.0,12.0,50.0,2500.0,2500.0,10.0,4674.25
40.0,1420.87,1549.01,1.0,9.0,50.0,2500.0,2500.0,10.0,1438.4
41.0,3711.46,2862.76,1.0,8.0,50.0,2500.0,2500.0,10.0,1264.64
42.0,-2334.22,-2742.0,1.0,12.0,50.0,2500.0,2500.0,10.0,7130.8
43.0,-3850.45,-1193.55,1.0,12.0,50.0,2500.0,2500.0,10.0,7346.47
44.0,-1643.08,969.265,1.0,12.0,50.0,2500.0,2500.0,10.0,4416.82
45.0,735.044,1657.55,1.0,10.0,50.0,2500.0,2500.0,10.0,1955.73
46.0,3149.35,2251.49,1.0,7.0,50.0,2500.0,2500.0,10.0,695.337
47.0,-2225.57,1630.92,1.0,12.0,50.0,2500.0,2500.0,10.0,4804.83
48.0,1448.11,4226.68,1.0,11.0,50.0,2500.0,2500.0,10.0,2021.88
49.0,-171.784,-1981.32,1.0,12.0,50.0,2500.0,2500.0,10.0,5217.35
