,id,name,x,y,z,elevation
0,1321.0,INOVA,1527.405074562005,2180.21223290045,1.5,644.458740234375
1,535.0,BC,297.3117341705384,1965.812272692516,1.5,602.1549682617188
2,802.0,CBMEG,1535.553550458122,1646.180816012451,1.5,652.5131225585938
3,845.0,CCUEC,1149.489906425988,1831.086023318527,1.5,616.7889404296875
4,1037.0,GASTROCENTRO,1186.795532965459,667.8664790652365,1.5,635.0250854492188
5,1115.0,CEPETRO,680.8411826086862,2348.688590041222,1.5,591.0722045898438
6,1038.0,HEMOCENTRO,1204.946460215959,597.7686246418147,1.5,638.4562377929688
7,960.0,CEMEQ,1143.061599502089,1202.745387873816,1.5,608.3146362304688
8,671.0,CBI,352.0531076132614,1826.281228442965,1.5,606.6591796875
9,663.0,CBII,556.2562076592629,1822.992830223083,1.5,606.18505859375
10,533.0,CDC,308.2522225770277,2105.023333638768,1.5,596.8485107421875
11,29.0,DGA,840.657019891126,1130.313255916596,1.5,620.0
12,9.0,DGRH,700.2246489972563,1136.527546024955,1.5,619.1638793945312
13,1211.0,DEdIC,1289.370763300412,641.1523155369861,1.5,637.7647705078125
14,1220.0,Sergio porto,1330.706328477058,760.0219809328617,1.5,628.6924438476562
15,1238.0,FCM,1067.961030188648,465.7315116408806,1.5,639.5677490234375
16,727.0,FEF,138.6149555530446,2070.031749445022,1.5,596.8958129882812
17,1240.0,FEnf,1141.112537866297,356.2711033260032,1.5,645.1103515625
18,881.0,FEAGRI,1403.095355355153,1702.947609790683,1.5,637.3544921875
19,1282.0,FEC,1256.482381348102,1967.590271187536,1.5,626.047119140625
20,300.0,FEA,700.8484901932751,1518.068690432123,1.5,611.6074829101562
21,278.0,FEEC,829.9645467667509,1433.338795907379,1.5,610.4165649414062
22,1151.0,FEM,857.0543528423469,1625.833289674726,1.5,602.1649169921875
23,971.0,FEQ,965.1695994400972,1502.78983898633,1.5,602.6256713867188
24,-1000.0,FUNCAMP,770.3276000004262,2465.279699999839,1.5,593.81201171875
25,1.0,GR,750.7658509575433,1090.142406541193,1.5,620.1802368164062
26,195.0,GGO,1062.636457249238,1143.528451488874,1.5,615.192138671875
27,59.0,HC,1035.705230675424,859.3963133134652,1.5,630.9996948242188
28,513.0,IA,423.0244711342319,2082.368167460645,1.5,598.1968994140625
29,604.0,IB,428.7053253054042,1666.80238937718,1.5,608.3006591796875
30,776.0,IC,965.0456324545066,2149.359108020025,1.5,609.8695678710938
31,488.0,IEL,519.3684361031133,2150.88873352755,1.5,592.8624877929688
32,1112.0,IFCH,811.6609538126386,2345.527821597184,1.5,598.408203125
33,441.0,IFGW,724.4970485314318,1976.394427369493,1.5,597.519775390625
34,182.0,IG-BAIXO,968.080931801402,1123.219445058076,1.5,618.9676513671875
35,1134.0,IG-CIMA,546.8123170611772,2311.007481121721,1.5,587.1701049804688
36,459.0,IMECC,666.7154479817508,2029.884260366945,1.5,600.0860595703125
37,376.0,IQ,670.1986968349462,1698.56702891677,1.5,606.8112182617188
38,4.0,PREFEITURA,777.6793602192681,1004.918244534925,1.5,621.8102416992188
39,198.0,RA,956.600038173243,1298.185503307433,1.5,612.33154296875
40,1309.0,RS,1218.197468924446,2096.661065822492,1.5,624.2836303710938
41,531.0,RU,213.9811267468425,1827.408355753984,1.5,603.1691284179688
42,-10001.0,CCS,955.805,1150.583,1.5,617.2142333984375
43,-10002.0,EB,905.0,1250.583,1.5,617.2142333984375
44,-10003.0,PO-RM,684.0915268592071,1098.7598336022347,1.5,617.2142333984375
45,-10004.0,PO-AL,1188.7798639746616,252.89479490928352,1.5,617.2142333984375
46,-10005.0,PO-VB,1192.2354990409222,740.3287706691772,1.5,604.0
